,pl_name,hostname,pl_type,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_spectype,st_teff,st_rad,st_mass,st_met,companion_type,pl_sus_data,discoverymethod,pl_refname
10,BD-06 1339 c,BD-06 1339,CS,1,2,125.94,0.435,,,53.0,0.17,0.31,0.11,-0.11,K7/M0 V,4324.0,,0.7,-0.14,1.0,0.0,Radial Velocity,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>
11,BD+55 362 b,BD+55 362,WJ,1,1,265.59,0.78,,,228.83645304,0.72,0.27,0.06,-0.06,K3,5012.0,,0.909,0.18,1.0,0.0,Radial Velocity,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>
12,WASP-160 B b,WASP-160 B,HS,2,1,3.7684952,0.0452,12.21781,1.09,88.35674,0.278,0.0,0.1,-0.1,K0 V,5298.0,0.868,0.87,0.27,1.0,1.0,Transit,<a refstr=LENDL_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.482..301L/abstract target=ref>Lendl et al. 2019</a>
13,HAT-P-30 b,HAT-P-30,HJ,2,1,2.810595,0.0419,15.02006,1.34,237.10118,0.746,0.016,0.1,-0.1,,6304.0,1.215,1.242,0.13,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
14,TYC 2187-512-1 b,TYC 2187-512-1,CS,1,1,691.9,1.22,,,104.88337431,0.33,0.05,0.04,-0.03,M1.0 V,3734.0,0.495,0.498,0.08,1.0,0.0,Radial Velocity,<a refstr=QUIRRENBACH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220316504Q/abstract target=ref>Quirrenbach et al. 2022</a>
15,HAT-P-3 b,HAT-P-3,HJ,2,1,2.899736,0.03899,10.076891,0.899,193.55847,0.609,0.01,0.1,-0.1,,5185.0,0.833,0.928,0.27,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
16,K2-32 b,K2-32,SE,2,4,8.992,0.0795,5.299,0.47274593,15.0,0.04719528,0.03,0.032,-0.021,,5271.0,0.86,0.83,-0.06,1.0,0.0,Transit,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>
17,K2-32 c,K2-32,SE,2,4,20.66093,0.13843,3.134,0.27959723,8.1,0.02548545,0.049,0.046,-0.035,,5271.0,0.86,0.83,-0.06,1.0,0.0,Transit,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>
18,K2-32 d,K2-32,SE,2,4,31.71701,0.18422,3.484,0.3108222,6.7,0.02108056,0.05,0.053,-0.035,,5271.0,0.86,0.83,-0.06,1.0,0.0,Transit,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>
19,K2-32 e,K2-32,SE,2,4,4.34934,0.04899,1.212,0.10812758,2.1,0.00660734,0.043,0.048,-0.03,,5271.0,0.86,0.83,-0.06,1.0,0.0,Transit,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>
20,HAT-P-2 b,HAT-P-2,HJ,1,2,5.6335158,0.06814,,,2739.6946,8.62,0.5172,0.0019,-0.0019,F8,6380.0,1.39,1.33,0.18,1.0,0.0,Transit,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>
21,HAT-P-2 c,HAT-P-2,CJ,1,2,8500.0,8.968116772239023,,,3400.7639549,10.7,0.37,0.13,-0.12,,,,1.33,,7.0,0.0,Radial Velocity,<a refstr=DE_BEURS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..136D/abstract target=ref>de Beurs et al. 2023</a>
22,CoRoTID 223977153 b,CoRoTID 223977153,HS,1,1,6.71837,0.071,6.38913,0.57,47.6745,0.15,,0.1,-0.1,G0 VI,5970.0,0.79,1.08,0.0,1.0,0.0,Transit,<a refstr=BOUFLEUR_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.473..710B/abstract target=ref>Boufleur et al. 2018</a>
23,DMPP-4 b,DMPP-4,SE,1,1,3.4982,0.04853,,,12.2,0.03838549,0.063,0.1,-0.1,F5-F8 V,6400.0,1.38,1.25,-0.007,1.0,1.0,Radial Velocity,<a refstr=BARNES_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.2033B/abstract target=ref>Barnes et al. 2023</a>
24,TYC 3318-01333-1 b,TYC 3318-01333-1,CJ,1,1,562.0,1.414,,,1086.9786,3.42,0.098,0.082,-0.032,,4776.0,5.9,1.19,-0.06,1.0,0.0,Radial Velocity,<a refstr=ADAM_OACUTE_W_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..47A/abstract target=ref>Adam&oacute;w et al. 2018</a>
25,HAT-P-20 b,HAT-P-20,HJ,1,1,2.8753186,0.03617,9.718203,0.867,2310.6241,7.27,0.0158,0.0023,-0.0018,,4595.0,0.694,0.756,0.35,1.0,0.0,Transit,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
26,K2-216 b,K2-216,SE,1,1,2.1748,0.028,1.75,0.15612454,8.0,0.02517069,0.0,0.1,-0.1,K5 V,4503.0,0.72,0.7,0.0,1.0,1.0,Transit,<a refstr=PERSSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...618A..33P/abstract target=ref>Persson et al. 2018</a>
27,WASP-70 A b,WASP-70 A,HJ,2,1,3.7130203,0.04853,13.047,1.164,187.512,0.59,0.0,0.1,-0.1,G4,5763.0,1.215,1.106,-0.006,1.0,1.0,Transit,<a refstr=ANDERSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.445.1114A/abstract target=ref>Anderson et al. 2014</a>
28,K2-66 b,K2-66,HS,1,1,5.06963,0.05983,2.49,0.22214292,21.3,0.06701696,0.0,0.1,-0.1,,5887.0,1.67,1.11,-0.047,1.0,1.0,Transit,<a refstr=SINUKOFF_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..271S/abstract target=ref>Sinukoff et al. 2017</a>
