,pl_name,hostname,sy_snum,sy_pnum,pl_type,pl_orbper,pl_orbsmax,pl_bmasse,pl_bmassj,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_met,se_companion,ss_companion,gg_companion
128,HD 74156 b,HD 74156,1,2,WJ,51.63564,0.28,532.36258,1.675,0.636,,,,1.1,,0,0,0
129,HD 74156 c,HD 74156,1,2,CJ,2448.48726,3.678,2753.98315,8.665,0.377,,,,1.1,,0,0,1
130,HD 73526 c,HD 73526,1,2,CJ,379.1,1.03,715.09,2.25,0.28,,,,1.01,,0,0,0
131,HD 72659 b,HD 72659,1,2,CJ,3549.39854,4.691,949.67128,2.988,0.257,,,,1.09,,0,0,0
132,HD 72659 c,HD 72659,1,2,CJ,18207.72098,13.959,5977.08102,18.806,0.091,,,,1.09,,0,0,1
133,HD 68988 b,HD 68988,1,2,HJ,6.27711,0.07,626.1251,1.97,0.12,,5932.0,1.19,1.28,0.35,0,0,0
134,HD 68988 c,HD 68988,1,2,CJ,16000.0,13.2,4767.4261,15.0,0.45,,5883.41,1.26,1.17,0.305,0,0,1
135,HD 67087 b,HD 67087,1,2,CJ,352.2,1.08,973.0,3.06,0.17,F8 V,6330.0,1.55,1.36,0.25,0,0,0
136,HD 67087 c,HD 67087,1,2,CJ,2374.0,3.86,1540.0,4.85,0.76,F8 V,6330.0,1.55,1.36,0.25,0,0,1
137,HD 65216 b,HD 65216,3,2,CJ,577.6,1.301,411.58985,1.295,0.27,,5612.0,,0.87,,0,0,0
138,HD 65216 c,HD 65216,3,2,CJ,5370.0,5.75,645.1949,2.03,0.17,,5612.0,,0.87,,0,0,1
139,HD 62364 b,HD 62364,1,2,CJ,5138.0,6.15,5965.6392,18.77,0.607,F7 V,6255.0,1.4,1.16,-0.11,0,0,0
140,HD 60532 b,HD 60532,1,2,WJ,201.9,0.77,336.8998,1.06,0.26,,6245.0,2.57,1.5,-0.26,0,0,0
141,HD 60532 c,HD 60532,1,2,CJ,600.1,1.6,797.7533,2.51,0.03,,6245.0,2.57,1.5,-0.26,0,0,1
142,HD 5319 b,HD 5319,1,2,CJ,637.1,1.57,494.54348,1.556,0.092,,4871.0,4.06,1.27,,0,0,0
