Internal index number,CPS identifier,[Fe/H],mass,,err_[Fe/H],logg,err_logg,Radius,err_R,,err_mass,GG?,Teff,err_Teff
251,197076,-0.065,0.979,,0.059,4.429,0.033,0.999,0.023,,0.05,,5833,87.6
252,198425,-0.039,0.79,,0.057,4.584,0.022,0.752,0.013,,0.029,,4945.9,69.1
253,198802,0.009,1.243,,0.059,3.823,0.02,2.255,0.052,,0.028,,5701.8 1,0.5
254,199476,-0.311,0.801,,0.059,4.457,0.02,0.872,0.016,,0.022,,5583.1,60.1
255,199960,0.254,1.188,,0.061,4.228,0.029,1.384,0.032,,0.048,,5876.9 1,3.7
256,200538,0.089,1.124,,0.058,4.216,0.028,1.365,0.031,,0.048,,5952.1,91
257,200565,0.049,1.055,,0.06,4.261,0.034,1.255,0.041,,0.048,,5904.3,92
258,200968,0.096,0.874,,0.061,4.542,0.038,0.83,0.035,,0.034,,5179.2 1,0.1
259,201203,0.289,1.46,,0.061,4.148,0.023,1.69,0.043,,0.038,,6420.6,99.3
260,20165,0.023,0.84,,0.059,4.541,0.028,0.812,0.016,,0.034,,5137.8,73.6
261,2025,-0.225,0.724,,0.058,4.606,0.019,0.699,0.011,,0.025,,4928.1,64.3
262,202575,-0.074,0.74,,0.058,4.609,0.017,0.706,0.012,,0.025,,4751.5,67
263,20619,-0.172,0.91,,0.06,4.488,0.032,0.899,0.019,,0.045,,5717.8,81.9
264,206387,0.226,1.145,,0.06,4.329,0.053,1.203,0.075,,0.049,,5899.6,94.8
265,20675,0.162,1.544,,0.06,4.02,0.02,2.006,0.049,,0.041,,6513.6 1,5.8
266,207874,0.159,0.872,,0.058,4.493,0.027,0.874,0.017,,0.034,,5186.9,71.5
267,208038,-0.028,0.81,,0.059,4.582,0.021,0.762,0.013,,0.027,,5001.1,65.3
268,208313,0.01,0.818,,0.057,4.564,0.024,0.783,0.015,,0.031,,5027.7,66.9
269,208801,0.099,1.123,,0.059,3.493,0.053,3.144,0.076,,0.117,,4819.5,63.6
270,209458,-0.006,1.069,,0.06,4.307,0.03,1.2,0.028,,0.048,,6026.4,96.9
271,209875,-0.087,1.129,,0.062,4.067,0.035,1.633,0.038,,0.068,,6105.5,93.9
272,21019a,-0.413,1.038,,0.061,3.708,0.024,2.354,0.055,,0.038,,5360.1,98.4
